Time(s),Position(m),Velocity(m/s),Acceleration(m/s²)
0,0,0,0
0.05,0,0,0.201821759
0.1,0,0,1.056760926
0.15,0,0,4.622246914
0.2,0,0.242186111,12.08227932
0.25,0,0.979676111,21.02038673
0.3,0,3.201341111,13.57090617
0.35,0.435935,3.326994444,-12.14116556
0.4,0.455612,1.223317778,-21.44253049
0.45,0.472163,0.358371111,-17.7052291
0.5,0.471593,-0.125202778,-9.103152809
0.55,0.461141,-0.393504444,-3.245282623
0.6,0.425621,-0.527475,-1.352231142
0.65,0.399741,-0.492397778,0.212924228
0.7,0.378318,-0.471600556,0.053713117
0.75,0.355133,-0.489002222,-0.246522068
0.8,0.329028,-0.505586111,-0.110945833
0.85,0.303511,-0.504673333,0.168009969
0.9,0.277717,-0.484103889,0.294895401
0.95,0.256087,-0.476305,0.4254825
1,0.228843,-0.445957778,0.678583673
1.05,0.211117,-0.404948889,0.853059568
1.1,0.188727,-0.363638889,1.23192716
1.15,0.172487,-0.280078333,1.532283642
1.2,0.160653,-0.194186111,1.482091111
1.25,0.153777,-0.120296111,1.181237315
1.3,0.149388,-0.064242778,1.08874608
1.35,0.147989,-0.018611111,1.129602963
1.4,0.147073,0.036511667,1.291773364
1.45,0.149682,0.125402778,1.450378981
1.5,0.160273,0.203125,1.103133056
1.55,0.171606,0.248185,0.715132623
1.6,0.185462,0.277148889,0.152725833
1.65,0.201131,0.270083889,-0.037873179
1.7,0.212758,0.257246667,0.026838086
1.75,0.22537,0.270868889,0.248387901
1.8,0.239468,0.291578889,0.316533333
1.85,0.254481,0.312036667,0.092529012
1.9,0.272586,0.299859444,-0.152584444
1.95,0.28449,0.284985,-0.12060963
2,0.299002,0.298228889,-0.269655895
2.05,0.316434,0.274415556,-0.545595062
2.1,0.328838,0.213711111,-0.479653704
2.15,0.335041,0.200275,0.081982407
2.2,0.346357,0.234697222,0.55252179
2.25,0.359642,0.261523333,0.601276914
2.3,0.372202,0.29248,0.533285525
2.35,0.387388,0.340395,0.273045895
2.4,0.409934,0.326966667,-0.113358704
2.45,0.42106,0.297122778,0.109005432
2.5,0.435226,0.338137778,0.28925
2.55,0.456062,0.359131667,0.086694753
2.6,0.473373,0.344184444,-0.119145833
2.65,0.490701,0.32661,0.192370833
2.7,0.504125,0.348415556,0.752967778
2.75,0.522144,0.424765556,0.737580309
2.8,0.54811,0.469726111,-0.084118858
2.85,0.576012,0.397818333,-0.551610401
2.9,0.586153,0.353250556,-0.011875741
2.95,0.605312,0.410658333,0.604476605
3,0.628307,0.456523333,0.607396975
3.05,0.653704,0.462569444,0.129354136
3.1,0.674833,0.450594444,-0.115662037
3.15,0.696186,0.473187778,-0.362651852
3.2,0.727422,0.412500556,-0.462308179
3.25,0.736699,0.370097222,0.272691204
3.3,0.757759,0.448439444,0.75916216
3.35,0.78281,0.498388333,0.348728642
3.4,0.808103,0.529539444,-0.997813704
3.45,0.846335,0.378965,-1.526763519
3.5,0.842517,0.284506111,-0.465606204
3.55,0.863871,0.370082778,-0.021270586
3.6,0.886987,0.342447222,-0.243756975
3.65,0.900445,0.278024444,-0.62558
3.7,0.911692,0.253896667,-0.39557216
3.75,0.926049,0.23704,0.119568179
3.8,0.934082,0.251214444,0.42520287
3.85,0.949164,0.295697222,0.487972716
3.9,0.965992,0.307926111,0.498749352
3.95,0.981696,0.307136111,0.93725534
4,0.989816,0.405620556,1.140734938
4.05,1.020326,0.523809444,-0.167070556
4.1,1.059025,0.37151,-1.261729074
4.15,1.052512,0.281971111,-0.394889938
4.2,1.07352,0.405546111,-0.488311296
4.25,1.109628,0.270002778,-1.230027531
4.3,1.099003,0.172733333,-0.491778302
4.35,1.116331,0.250734444,0.27467071
4.4,1.124226,0.303908333,-0.528847685
4.45,1.150987,0.259118889,-3.883581327
4.5,1.173758,-0.176680556,-6.341522438
4.55,1.120494,-0.380178333,-11.83553392
4.6,1.10714,-0.710790556,-27.83684457
4.65,1.124001,-2.453152778,-50.93789901
4.7,1.120425,-8.087735,-30.61621815
4.75,0,-8.090537778,31.69800352
4.8,0,-2.49182,52.235545
4.85,0,-0.622458333,30.43651574
4.9,0,0,12.65901685
4.95,0,0,3.459757407
5,0,0,0.69162037
